	 Réf.	 Nom	Effet	Prix de vente
	 4036280.	Torche	ATT : +1 | DEG : +1 | Vue : +1	100 GG'
	 664541.	Torche	ATT : +1 | DEG : +1 | Vue : +1	100 GG'
Arme (2 mains)
	 974854.	Baton Lesté	ATT : +2 | DEG : -1	100 GG'
	 2129742.	Baton Lesté	ATT : +2 | DEG : -1	100 GG'
	 2484543.	Baton Lesté	ATT : +2 | DEG : -1	100 GG'
	 5032032.	Baton Lesté de Résistance	ATT : +2 | DEG : -1 | Armure : +0\+1	2000 GG'
	 1317700.	Bâtons de Parade	ATT : -4 | ESQ : +2 | Armure : +2	100 GG'
	 1941711.	Bâtons de Parade	ATT : -4 | ESQ : +2 | Armure : +2	100 GG'
	 2006379.	Bâtons de Parade	ATT : -4 | ESQ : +2 | Armure : +2	100 GG'
	 2587631.	Chaîne Cloutée	ATT : -2 | ESQ : +1 | DEG : +4	100 GG'
	 1469276.	Chaîne Cloutée	ATT : -2 | ESQ : +1 | DEG : +4	100 GG'
	 2455401.	Chaîne Cloutée	ATT : -2 | ESQ : +1 | DEG : +4	100 GG'
	 1101942.	Espadon	ATT : -6 | DEG : +8	100 GG'
	 1146516.	Espadon	ATT : -6 | DEG : +8	100 GG'
	 2881303.	Espadon	ATT : -6 | DEG : +8	100 GG'
	 3609621.	Grosse Stalagmite de Feu	ATT : -20 | ESQ : -15 | DEG : +28\+1 | Vue : -4	5000 GG'
	 2406480.	Grosse Stalagmite	ATT : -20 | ESQ : -15 | DEG : +28 | Vue : -4	500 GG'
	 1199086.	Grosse Stalagmite de la Salamandre	ATT : -20 | ESQ : -15 | DEG : +28 | REG : +1 | Vue : -4	2000 GG'
	 4054501.	Grosse Stalagmite	ATT : -20 | ESQ : -15 | DEG : +28 | Vue : -4	500 GG'
	 3634958.	Hache à deux mains d'Obsidienne	ATT : -8 | DEG : +16 | REG : -4 | RM : -54 % | MM : -26 %	500 GG'
	 3997743.	Hache à deux mains d'Obsidienne	ATT : -8 | DEG : +16 | REG : -4 | RM : -86 % | MM : -20 %	500 GG'
	 5843905.	Hache à deux mains d'Obsidienne	ATT : -8 | DEG : +16 | REG : -4 | RM : -58 % | MM : -26 %	500 GG'
	 3072282.	Hache de Bataille	ATT : -4 | DEG : +6	100 GG'
	 1526820.	Hache de Bataille	ATT : -4 | DEG : +6	100 GG'
	 3335081.	Hache de Bataille	ATT : -4 | DEG : +6	100 GG'
	 1072658.	Hache de guerre en os	ATT : -4 | DEG : +6	100 GG'
	 1132589.	Hache de guerre en os	ATT : -4 | DEG : +6	100 GG'
	 786178.	Hache de guerre en os	ATT : -4 | DEG : +6	100 GG'
	 5090710.	Hache de guerre en os de Feu	ATT : -4 | DEG : +6\+1	2000 GG'
	 1668947.	Hache de guerre en pierre	ATT : -10 | DEG : +14 | RM : +8 %	100 GG'
	 3546335.	Hache de guerre en pierre	ATT : -10 | DEG : +14 | RM : +10 %	100 GG'
	 6176706.	Hache de guerre en pierre	ATT : -10 | DEG : +14 | RM : +8 %	100 GG'
	 919447.	Hallebarde	ATT : -10 | DEG : +12	100 GG'
	 1532947.	Hallebarde	ATT : -10 | DEG : +12	100 GG'
	 6301384.	Hallebarde	ATT : -10 | DEG : +12	100 GG'
Armure
	 2637841.	Armure d'Anneaux	ESQ : -8 | Armure : +8 | RM : +153 %	1500 GG'
	 2364398.	Armure d'Anneaux	ESQ : -8 | Armure : +8 | RM : +135 %	1000 GG'
	 2197031.	Armure d'Anneaux	ESQ : -8 | Armure : +8 | RM : +117 %	1000 GG'
	 3076383.	Armure d'Anneaux	ESQ : -8 | Armure : +8 | RM : +171 %	1600 GG'
	 4322365.	Armure d'Anneaux	ESQ : -8 | Armure : +8 | RM : +180 %	1600 GG'
	 1078768.	Armure de bois	ESQ : -3 | Armure : +5 | RM : +32 %	200 GG'
	 516477.	Armure de bois	ESQ : -3 | Armure : +5 | RM : +35 %	200 GG'
	 1650414.	Armure de bois du Vent	ESQ : -2 | DEG : +0\-1 | Armure : +5 | RM : +28 %	1000 GG'
	 293301.	Armure de bois	ESQ : -3 | Armure : +5 | RM : +50 %	200 GG'
	 951721.	Armure de Cuir	Armure : +2 | RM : +12 %	150 GG'
	 1165834.	Armure de Cuir	Armure : +2 | RM : +12 %	150 GG'
	 1076886.	Armure de Cuir	Armure : +2 | RM : +16 %	150 GG'
	 382910.	Armure de peaux	ESQ : -2 | Armure : +4 | RM : +57 %	350 GG'
	 914133.	Armure de peaux	ESQ : -2 | Armure : +4 | RM : +60 %	350 GG'
	 652183.	Armure de peaux	ESQ : -2 | Armure : +4 | RM : +42 %	350 GG'
	 4590747.	Armure de pierre	ESQ : -6 | Armure : +12 | RM : +112 %	1000 GG'
	 5731424.	Armure de pierre	ESQ : -6 | Armure : +12 | RM : +98 %	1000 GG'
	 1467998.	Armure de Plates	ESQ : -5 | Armure : +10 | RM : +65 %	1650 GG'
	 1645870.	Cotte de Mailles	ESQ : -3 | Armure : +7 | RM : +57 %	500 GG'
	 1588814.	Cotte de Mailles	ESQ : -3 | Armure : +7 | RM : +57 %	500 GG'
	 1820879.	Cotte de Mailles	ESQ : -3 | Armure : +7 | RM : +51 %	500 GG'
	 2031309.	Cuir Bouilli	ESQ : -1 | Armure : +3 | RM : +34 %	60 GG'
	 3438035.	Cuir Bouilli	ESQ : -1 | Armure : +3 | RM : +24 %	60 GG'
	 1692218.	Cuir Bouilli	ESQ : -1 | Armure : +3 | RM : +24 %	60 GG'
	 2885970.	Cuir Bouilli	ESQ : -1 | Armure : +3 | RM : +22 %	60 GG'
	 2471007.	Cuir Bouilli	ESQ : -1 | Armure : +3 | RM : +28 %	60 GG'
	 1979438.	Cuir Bouilli	ESQ : -1 | Armure : +3 | RM : +26 %	60 GG'
	 2707085.	Cuir Bouilli	ESQ : -1 | Armure : +3 | RM : +28 %	60 GG'
	 3081133.	Cuir Bouilli	ESQ : -1 | Armure : +3 | RM : +24 %	60 GG'
	 4859278.	Cuir Bouilli	ESQ : -1 | Armure : +3 | RM : +22 %	60 GG'
	 5291758.	Cuir Bouilli	ESQ : -1 | Armure : +3 | RM : +32 %	60 GG'
	 5105643.	Cuir Bouilli	ESQ : -1 | Armure : +3 | RM : +40 %	60 GG'
	 5410280.	Cuir Bouilli	ESQ : -1 | Armure : +3 | RM : +38 %	60 GG'
	 6905244.	Cuir Bouilli	ESQ : -1 | Armure : +3 | RM : +26 %	60 GG'
	 6340075.	Cuir Bouilli	ESQ : -1 | Armure : +3 | RM : +24 %	60 GG'
	 6852667.	Cuir Bouilli	ESQ : -1 | Armure : +3 | RM : +28 %	60 GG'
	 6711709.	Cuir Bouilli	ESQ : -1 | Armure : +3 | RM : +22 %	60 GG'
	 1686414.	Cuirasse d'écailles	ESQ : -3 | Armure : +6 | RM : +49 %	200 GG'
	 2311614.	Cuirasse d'écailles	ESQ : -3 | Armure : +6 | RM : +60 %	400 GG'
	 2178948.	Cuirasse d'écailles	ESQ : -3 | Armure : +6 | RM : +66 %	400 GG'
	 2710018.	Cuirasse d'écailles du Vent	ESQ : -2 | DEG : +0\-1 | Armure : +6 | RM : +52 %	2000 GG'
	 1592408.	Cuirasse d'Ossements	ESQ : -3 | Armure : +5 | RM : +28 % | MM : +18 %	500 GG'
	 2783968.	Cuirasse d'Ossements	ESQ : -3 | Armure : +5 | RM : +20 % | MM : +22 %	500 GG'
	 6422100.	Culotte en Cuir	ESQ : +1	50 GG'
	 4745147.	Culotte en Cuir	ESQ : +1	50 GG'
	 6433343.	Culotte en Cuir	ESQ : +1	50 GG'
	 5131112.	Culotte en Cuir	ESQ : +1	50 GG'
	 7301942.	Culotte en Cuir	ESQ : +1	50 GG'
	 1091717.	Culotte en Cuir des Prieres d'Arh - Tolth	ESQ : +1	50 GG'
	 535724.	Fourrures	Armure : +2 | RM : +26 %	100 GG'
	 911954.	Fourrures	Armure : +2 | RM : +24 %	100 GG'
	 173196.	Fourrures	Armure : +2 | RM : +26 %	100 GG'
	 580604.	Haubert d'écailles	ESQ : -4 | Armure : +8 | RM : +72 %	600 GG'
	 1136134.	Haubert d'écailles	ESQ : -4 | Armure : +8 | RM : +68 %	600 GG'
	 1022329.	Haubert d'écailles	ESQ : -4 | Armure : +8 | RM : +48 %	600 GG'
	 1180044.	Haubert de mailles	ESQ : -4 | Armure : +9 | RM : +56 %	700 GG'
	 1228838.	Haubert de mailles	ESQ : -4 | Armure : +9 | RM : +48 %	700 GG'
	 4901648.	Pagne de Mailles des Tortues	ESQ : +2 | TOUR : +30 min | Armure : +1\+2	2000 GG'
	 1505730.	Pagne en Cuir	ESQ : +2 | Armure : -1	100 GG'
	 1946737.	Pagne en Cuir	ESQ : +2 | Armure : -1	100 GG'
	 1685447.	Pagne en Cuir	ESQ : +2 | Armure : -1	100 GG'
	 2029555.	Pagne en Cuir	ESQ : +2 | Armure : -1	100 GG'
	 2106480.	Pagne en Cuir	ESQ : +2 | Armure : -1	100 GG'
	 2049309.	Pagne en Cuir	ESQ : +2 | Armure : -1	100 GG'
	 1189696.	Pagne en Cuir	ESQ : +2 | Armure : -1	100 GG'
	 1457252.	Tunique	ESQ : +1 | RM : +6 % | MM : +10 %	200 GG'
	 1660356.	Tunique	ESQ : +1 | RM : +6 % | MM : +8 %	200 GG'
	 173469.	Tunique	ESQ : +1 | RM : +8 % | MM : +9 %	200 GG'
	 2337537.	Tunique	ESQ : +1 | RM : +6 % | MM : +8 %	200 GG'
	 1182335.	Tunique	ESQ : +1 | RM : +6 % | MM : +10 %	200 GG'
	 2341569.	Tunique	ESQ : +1 | RM : +10 % | MM : +6 %	150 GG'
	 895513.	Tunique	ESQ : +1 | RM : +9 % | MM : +7 %	200 GG'
	 2318601.	Tunique	ESQ : +1 | RM : +6 % | MM : +7 %	200 GG'
	 2681519.	Tunique	ESQ : +1 | RM : +6 % | MM : +8 %	100 GG'
	 2877674.	Tunique	ESQ : +1 | RM : +8 % | MM : +8 %	200 GG'
	 4639274.	Tunique de Résistance	ESQ : +1 | Armure : +0\+1 | RM : +8 % | MM : +6 %	2000 GG'
	 1766721.	Tunique d'écailles	ESQ : -1 | Armure : +3 | RM : +20 %	250 GG'
	 466142.	Tunique d'écailles	ESQ : -1 | Armure : +3 | RM : +16 %	250 GG'
	 743062.	Tunique d'écailles	ESQ : -1 | Armure : +3 | RM : +30 %	300 GG'
	 995341.	Tunique d'écailles	ESQ : -1 | Armure : +3 | RM : +22 %	250 GG'
	 974853.	Tunique d'écailles	ESQ : -1 | Armure : +3 | RM : +27 %	250 GG'
	 1276311.	Tunique d'écailles	ESQ : -1 | Armure : +3 | RM : +16 %	250 GG'
	 478964.	Tunique d'écailles	ESQ : -1 | Armure : +3 | RM : +16 %	250 GG'
	 1481243.	Tunique d'écailles	ESQ : -1 | Armure : +3 | RM : +24 %	250 GG'
	 1450997.	Tunique d'écailles	ESQ : -1 | Armure : +3 | RM : +26 %	250 GG'
	 794700.	Tunique d'écailles	ESQ : -1 | Armure : +3 | RM : +30 %	300 GG'
	 296015.	Tunique d'écailles	ESQ : -1 | Armure : +3 | RM : +21 %	250 GG'
	 898149.	Tunique d'écailles	ESQ : -1 | Armure : +3 | RM : +22 %	250 GG'
	 977557.	Tunique d'écailles	ESQ : -1 | Armure : +3 | RM : +28 %	250 GG'
	 163238.	Tunique d'écailles	ESQ : -1 | Armure : +3 | RM : +28 %	250 GG'
	 327576.	Tunique d'écailles	ESQ : -1 | Armure : +3 | RM : +18 %	250 GG'
	 2503651.	Tunique d'écailles	ESQ : -1 | Armure : +3 | RM : +24 %	300 GG'
	 2818274.	Tunique d'écailles	ESQ : -1 | Armure : +3 | RM : +16 %	180 GG'
	 1249871.	Tunique d'écailles	ESQ : -1 | Armure : +3 | RM : +26 %	250 GG'
	 2571196.	Tunique d'écailles	ESQ : -1 | Armure : +3 | RM : +30 %	180 GG'
	 1645118.	Tunique d'écailles	ESQ : -1 | Armure : +3 | RM : +24 %	180 GG'
	 3552086.	Tunique d'écailles	ESQ : -1 | Armure : +3 | RM : +26 %	180 GG'
	 2613116.	Tunique d'écailles	ESQ : -1 | Armure : +3 | RM : +22 %	200 GG'
	 3604816.	Tunique d'écailles	ESQ : -1 | Armure : +3 | RM : +21 %	180 GG'
	 909828.	Tunique d'écailles	ESQ : -1 | Armure : +3 | RM : +27 %	250 GG'
	 2485521.	Tunique d'écailles	ESQ : -1 | Armure : +3 | RM : +16 %	200 GG'
	 3604715.	Tunique d'écailles	ESQ : -1 | Armure : +3 | RM : +27 %	180 GG'
	 4103995.	Tunique d'écailles	ESQ : -1 | Armure : +3 | RM : +27 %	180 GG'
	 4005369.	Tunique d'écailles	ESQ : -1 | Armure : +3 | RM : +20 %	180 GG'
	 770230.	Tunique d'écailles de Feu	ESQ : -1 | DEG : +0\+1 | Armure : +3 | RM : +18 %	2000 GG'
	 267062.	Tunique d'écailles du brasier	ESQ : -1 | Armure : +3 | RM : +27 %	250 GG'
Bidouille
	 1825155.	[Bidouille] Feux de camp		100 GG'
	 3523727.	[Bidouille] Message de Gorzak		1 GG'
	 2137471.	[Bidouille] Statue de Flamme : Phoenix		500 GG'
Bottes
	 3395144.	Bottes	ESQ : +2	400 GG'
	 4139477.	Bottes	ESQ : +2	400 GG'
	 6089106.	Jambières en cuir	Armure : +1 | RM : +8 %	400 GG'
	 3310281.	Jambières en cuir	Armure : +1 | RM : +9 %	400 GG'
	 4555227.	Jambières en cuir de la Salamandre	REG : +1 | Armure : +1 | RM : +6 %	2000 GG'
	 3917327.	Jambières en fourrure	Armure : +1 | RM : +6 %	500 GG'
	 958530.	Jambières en fourrure	Armure : +1 | RM : +8 %	500 GG'
	 2740661.	Jambières en maille	ESQ : -1 | Armure : +3 | RM : +6 %	950 GG'
	 809021.	Jambières en maille	ESQ : -1 | Armure : +3 | RM : +8 %	1000 GG'
	 3115286.	Jambières en maille	ESQ : -1 | Armure : +3 | RM : +6 %	1000 GG'
	 2174453.	Jambières en maille	ESQ : -1 | Armure : +3 | RM : +6 %	1000 GG'
	 1826463.	Jambières en os	ESQ : -1 | Armure : +2 | RM : +9 %	600 GG'
	 2825413.	Jambières en os	ESQ : -1 | Armure : +2 | RM : +9 %	600 GG'
	 3904671.	Jambières en os	ESQ : -1 | Armure : +2 | RM : +8 %	500 GG'
	 3724123.	Jambières en os	ESQ : -1 | Armure : +2 | RM : +6 %	500 GG'
	 200661.	Jambières en os	ESQ : -1 | Armure : +2 | RM : +9 %	600 GG'
	 3199591.	Jambières en os	ESQ : -1 | Armure : +2 | RM : +6 %	500 GG'
	 4265872.	Jambières en os	ESQ : -1 | Armure : +2 | RM : +10 %	600 GG'
	 4244474.	Jambières en os	ESQ : -1 | Armure : +2 | RM : +8 %	500 GG'
Bouclier
	 7033164.	Bouclier à Pointes	ATT : +1 | ESQ : -1 | DEG : +1 | Armure : +4	1000 GG'
	 1814777.	Gros'Porte	ESQ : -1 | Armure : +5 | RM : +12 %	1000 GG'
	 2783792.	Rondache en bois	ESQ : +1 | Armure : +1	100 GG'
	 3226941.	Rondache en bois	ESQ : +1 | Armure : +1	100 GG'
	 1688230.	Rondache en bois de la Salamandre	ESQ : +1 | REG : +1 | Armure : +1	2000 GG'
	 2599512.	Rondache en métal	ESQ : +1 | Armure : +2	200 GG'
	 1221923.	Targe	ESQ : +1	100 GG'
	 1167315.	Targe	ESQ : +1	100 GG'
	 628436.	Targe	ESQ : +1	100 GG'
Casque
	 5263586.	Cagoule	ESQ : +1 | Vue : -1 | MM : +8 %	50 GG'
	 1130822.	Cagoule du Vent	ESQ : +2 | DEG : +0\-1 | Vue : -1 | MM : +10 %	2000 GG'
	 2791482.	Casque à cornes	ESQ : -1 | DEG : +1 | Vue : -1 | Armure : +3 | RM : +8 %	300 GG'
	 4444673.	Casque à cornes	ESQ : -1 | DEG : +1 | Vue : -1 | Armure : +3 | RM : +6 %	300 GG'
	 5667400.	Casque à cornes	ESQ : -1 | DEG : +1 | Vue : -1 | Armure : +3 | RM : +6 %	300 GG'
	 4480616.	Casque en cuir	Armure : +1 | RM : +6 %	150 GG'
	 2560752.	Casque en métal	Vue : -1 | Armure : +2 | RM : +6 %	300 GG'
	 3698184.	Casque en métal	Vue : -1 | Armure : +2 | RM : +6 %	300 GG'
	 3634606.	Heaume	ATT : -1 | Vue : -2 | Armure : +4 | RM : +13 %	500 GG'
	 3097333.	Heaume	ATT : -1 | Vue : -2 | Armure : +4 | RM : +12 %	500 GG'
	 5227939.	Heaume	ATT : -1 | Vue : -2 | Armure : +4 | RM : +17 %	500 GG'
	 2461301.	Lorgnons	ESQ : -1 | Vue : +1 | MM : +8 %	150 GG'
	 2492061.	Lorgnons	ESQ : -1 | Vue : +1 | MM : +6 %	150 GG'
	 3756652.	Lorgnons	ESQ : -1 | Vue : +1 | MM : +7 %	50 GG'
	 3675931.	Lorgnons	ESQ : -1 | Vue : +1 | MM : +8 %	150 GG'
	 3638200.	Lorgnons	ESQ : -1 | Vue : +1 | MM : +8 %	150 GG'
	 4544366.	Lorgnons	ESQ : -1 | Vue : +1 | MM : +6 %	150 GG'
	 6398056.	Lorgnons	ESQ : -1 | Vue : +1 | MM : +8 %	50 GG'
	 1571767.	Turban	RM : +12 %	20 GG'
	 1103969.	Turban	RM : +16 %	20 GG'
	 779410.	Turban	RM : +16 %	20 GG'
	 2200770.	Turban	RM : +15 %	19 GG'
	 2060433.	Turban	RM : +18 %	20 GG'
	 250767.	Turban	RM : +17 %	200 GG'
	 532293.	Turban	RM : +20 %	300 GG'
	 3434824.	Turban	RM : +12 %	10 GG'
	 5842020.	Turban	RM : +12 %	10 GG'
	 5849059.	Turban	RM : +15 %	10 GG'
Parchemin
	 1293935.	Idées Confuses	ATT : -1 D3 | TOUR : +30 min	100 GG'
	 1164374.	Idées Confuses	ATT : -2 D3 | TOUR : +60 min	200 GG'
	 1873918.	Idées Confuses	ATT : -1 D3 | TOUR : +30 min	100 GG'
	 1142164.	Idées Confuses	ATT : -2 D3 | TOUR : +60 min	200 GG'
	 1481310.	Idées Confuses	ATT : -2 D3 | TOUR : +60 min	200 GG'
	 3203427.	Idées Confuses	ATT : -1 D3 | TOUR : +30 min	100 GG'
	 2452829.	Idées Confuses	ATT : -2 D3 | TOUR : +60 min	200 GG'
	 2496900.	Idées Confuses	ATT : -2 D3 | TOUR : +60 min	200 GG'
	 1106368.	Idées Confuses	ATT : -4 D3 | TOUR : +120 min	500 GG'
	 2001067.	Idées Confuses	ATT : -4 D3 | TOUR : +120 min	500 GG'
	 2453138.	Idées Confuses	ATT : -1 D3 | TOUR : +30 min	100 GG'
	 2698611.	Idées Confuses	ATT : -1 D3 | TOUR : +30 min	100 GG'
	 3174564.	Idées Confuses	ATT : -1 D3 | TOUR : +30 min	100 GG'
	 6574218.	Idées Confuses	ATT : -1 D3 | TOUR : +30 min	100 GG'
	 3089368.	Idées Confuses	ATT : -3 D3 | TOUR : +90 min	300 GG'
	 4048974.	Idées Confuses	ATT : -2 D3 | TOUR : +60 min	200 GG'
	 3939953.	Idées Confuses	ATT : -3 D3 | TOUR : +90 min	300 GG'
	 4008087.	Idées Confuses	ATT : -2 D3 | TOUR : +60 min	200 GG'
	 1738064.	Idées Confuses de l'Amitié	ATT : -3 D3 | TOUR : +90 min	300 GG'
	 1763851.	Plan Génial	ATT : +2 D3 | DEG : +2 | TOUR : -30 min	200 GG'
	 1563416.	Plan Génial	ATT : +3 D3 | DEG : +3 | TOUR : -45 min	300 GG'
	 1464379.	Plan Génial	ATT : +1 D3 | DEG : +1 | TOUR : -15 min	100 GG'
	 823708.	Plan Génial	ATT : +1 D3 | DEG : +1 | TOUR : -15 min	100 GG'
	 1442113.	Plan Génial	ATT : +2 D3 | DEG : +2 | TOUR : -30 min	200 GG'
	 1626337.	Plan Génial	ATT : +1 D3 | DEG : +1 | TOUR : -15 min	100 GG'
	 1641685.	Plan Génial	ATT : +1 D3 | DEG : +1 | TOUR : -15 min	100 GG'
	 987825.	Plan Génial	ATT : +2 D3 | DEG : +2 | TOUR : -30 min	200 GG'
	 2164494.	Plan Génial	ATT : +3 D3 | DEG : +3 | TOUR : -45 min	300 GG'
	 2711925.	Plan Génial	ATT : +1 D3 | DEG : +1 | TOUR : -15 min	100 GG'
	 510894.	Plan Génial	ATT : +2 D3 | DEG : +2 | TOUR : -30 min	200 GG'
	 3151996.	Plan Génial	ATT : +2 D3 | DEG : +2 | TOUR : -30 min	200 GG'
	 574980.	Rune des Cyclopes	ATT : +2 D3 | DEG : +2 | Vue : -2	200 GG'
	 2461047.	Rune des Cyclopes	ATT : +2 D3 | DEG : +2 | Vue : -2	200 GG'
	 2199296.	Rune des Cyclopes	ATT : +2 D3 | DEG : +2 | Vue : -2	200 GG'
	 2150722.	Rune des Cyclopes	ATT : +3 D3 | DEG : +3 | Vue : -3	300 GG'
	 1573435.	Rune des Cyclopes	ATT : +3 D3 | DEG : +3 | Vue : -3	300 GG'
	 1406548.	Rune des Cyclopes	ATT : +3 D3 | DEG : +3 | Vue : -3	300 GG'
	 1392865.	Rune des Cyclopes	ATT : +1 D3 | DEG : +1 | Vue : -1	100 GG'
	 3117572.	Rune des Cyclopes	ATT : +3 D3 | DEG : +3 | Vue : -3	300 GG'
	 1764560.	Rune des Cyclopes	ATT : +2 D3 | DEG : +2 | Vue : -2	200 GG'
	 607533.	Rune des Cyclopes	ATT : +2 D3 | DEG : +2 | Vue : -2	200 GG'
	 2144192.	Rune des Cyclopes	ATT : +3 D3 | DEG : +3 | Vue : -3	300 GG'
	 2446326.	Rune des Cyclopes	ATT : +2 D3 | DEG : +2 | Vue : -2	200 GG'
	 990006.	Rune des Cyclopes	ATT : +3 D3 | DEG : +3 | Vue : -3	300 GG'
	 1997376.	Rune des Cyclopes	ATT : +4 D3 | DEG : +4 | Vue : -4	500 GG'
	 3248670.	Rune des Cyclopes	ATT : +3 D3 | DEG : +3 | Vue : -3	300 GG'
	 2703056.	Rune des Cyclopes	ATT : +2 D3 | DEG : +2 | Vue : -2	200 GG'
	 2617614.	Rune des Cyclopes	ATT : +2 D3 | DEG : +2 | Vue : -2	200 GG'
	 2569431.	Rune des Cyclopes	ATT : +1 D3 | DEG : +1 | Vue : -1	100 GG'
	 2826675.	Rune des Cyclopes	ATT : +2 D3 | DEG : +2 | Vue : -2	200 GG'
	 2568830.	Rune des Cyclopes	ATT : +1 D3 | DEG : +1 | Vue : -1	100 GG'
	 3339295.	Rune des Cyclopes	ATT : +2 D3 | DEG : +2 | Vue : -2	200 GG'
	 3771025.	Rune des Cyclopes	ATT : +1 D3 | DEG : +1 | Vue : -1	100 GG'
	 3914422.	Rune des Cyclopes	ATT : +1 D3 | DEG : +1 | Vue : -1	100 GG'
	 6449635.	Rune des Foins	DEG : -1 | Vue : -1 | PV : -2 D3	100 GG'
	 2209904.	Traité de Clairvoyance	Vue : +1 | TOUR : -30 min	100 GG'
	 1861627.	Traité de Clairvoyance	Vue : +1 | TOUR : -30 min	100 GG'
	 1891036.	Traité de Clairvoyance	Vue : +1 | TOUR : -30 min	100 GG'
	 4283554.	Traité de Clairvoyance	Vue : +3 | TOUR : -90 min	300 GG'
	 3926432.	Traité de Clairvoyance	Vue : +4 | TOUR : -120 min	500 GG'
	 5271259.	Traité de Clairvoyance	Vue : +3 | TOUR : -90 min	300 GG'
	 1318244.	Yeu'Ki'Pic	Vue : -3 | Effet de Zone	200 GG'
